Date,AAPL,GE,GOOG,IBM,MSFT
2011-12-28,50.04821014404297,13.24537181854248,318.6556091308594,139.64202880859375,21.29734230041504
2011-12-29,50.35647964477539,13.423662185668945,320.00054931640625,141.3041534423828,21.46230697631836
2011-12-30,50.341556549072266,13.304803848266602,321.7440185546875,139.55857849121094,21.41281509399414
2012-01-03,51.115936279296875,13.639090538024902,331.46258544921875,141.39523315429688,22.08094024658203
2012-01-04,51.390647888183594,13.787668228149414,332.8922424316406,140.8184356689453,22.6005859375
2012-01-05,51.96118927001953,13.78023910522461,328.2745361328125,140.15052795410156,22.831539154052734
2012-01-06,52.50437545776367,13.85452651977539,323.79632568359375,138.54150390625,23.186216354370117
2012-01-09,52.42109298706055,14.01052474975586,310.0677795410156,137.8205108642578,22.881027221679688
2012-01-10,52.60879135131836,13.906524658203125,310.4065246582031,137.60801696777344,22.96351432800293
2012-01-11,52.52302551269531,14.025383949279785,311.8112487792969,138.37457275390625,22.86452865600586
2012-01-12,52.37883758544922,14.062531471252441,313.6443786621094,137.0311737060547,23.09548568725586
2012-01-13,52.18244552612305,13.995671272277832,311.32806396484375,135.97622680664062,23.301694869995117
2012-01-17,52.79026794433594,13.921382904052734,313.1163635253906,136.61373901367188,23.309947967529297
2012-01-18,53.33843231201172,14.129389762878418,315.2732849121094,137.42584228515625,23.285202026367188
2012-01-19,53.16938400268555,14.225961685180664,318.5908508300781,137.00840759277344,23.194473266601562
2012-01-20,52.243343353271484,14.225961685180664,291.90087890625,143.0801544189453,24.505958557128906
2012-01-23,53.12712478637695,14.069962501525879,291.666748046875,144.188232421875,24.522459030151367
2012-01-24,52.257015228271484,13.995671272277832,289.3803405761719,145.668212890625,24.200773239135742
2012-01-25,55.51990509033203,14.211100578308105,283.68170166015625,145.51638793945312,24.382234573364258
2012-01-26,55.2675666809082,14.166528701782227,282.9892883300781,144.94715881347656,24.332748413085938
2012-01-27,55.59696578979492,14.136811256408691,288.9071044921875,144.5525360107422,24.11003875732422
2012-01-30,56.30921173095703,14.040242195129395,287.7663879394531,146.10084533691406,24.42348289489746
2012-01-31,56.74050521850586,13.899097442626953,288.97186279296875,146.17669677734375,24.357492446899414
2012-02-01,56.70449447631836,13.943668365478516,289.33050537109375,146.19190979003906,24.654436111450195
2012-02-02,56.571475982666016,13.928812980651855,291.4625244140625,145.36465454101562,24.70393180847168
2012-02-03,57.138282775878906,14.129389762878418,297.05157470703125,146.96604919433594,24.943132400512695
2012-02-06,57.671531677246094,14.151677131652832,303.4077453613281,146.3436737060547,24.910133361816406
2012-02-07,58.27562713623047,14.248249053955078,302.2520751953125,146.74598693847656,25.03386116027832
2012-02-08,59.25136947631836,14.292818069458008,303.7863464355469,147.01258850097656,25.28955841064453
2012-02-09,61.30110168457031,14.211100578308105,304.58831787109375,147.14976501464844,25.380292892456055
